feature,selected_in_joint,corr,var_ratio_single,se_after_single,beta_joint
length,0,0.016823948064840354,0.9997169547715116,0.5683112543974027,
sum_logp,0,0.24818124137577588,0.9384060714291788,0.5506087798404203,
mean_logp,0,0.29706145970299835,0.9117544891591237,0.5427335672981695,
var_logp,1,-0.3094516872523565,0.9042396532566698,0.540492288207985,-6.2052823411517135
max_logp,0,-0.04240320569529253,0.9982035783034583,0.5678809352877991,
min_logp,0,0.19413981985262355,0.9623097303475909,0.5575774050386182,
surprisal_sum,0,-0.24818124137577588,0.9384060714291788,0.5506087798404203,
surprisal_mean,0,-0.29706145970299835,0.9117544891591237,0.5427335672981695,
length_inv,0,-0.009471462641523608,0.9999102913954303,0.5683662049846725,
length_log,1,0.013375685471183766,0.9998210910381758,0.5683408529107392,-4.965617454852196
rb_entropy_sum,1,-0.17737121710141102,0.9685394513439641,0.5593792927175597,-6.556358116255071e-05
rb_entropy_mean,0,-0.23227400892523603,0.9460487847777993,0.5528464100922571,
sum_w,1,-0.15759303358633925,0.975164435765055,0.5612891599181146,0.0052397519488686485
sum_w2,1,-0.23121522895095045,0.9465395179011596,0.552989777367261,-5.516534588474265e-05
sum_w_abs,0,-0.15759303358633925,0.975164435765055,0.5612891599181146,
wjlogp_sum,0,0.9992630622497939,0.0014733324231648263,0.02181715418789264,
jH_sum,0,-0.2651625043772147,0.9296888462724038,0.5480454015253677,
sum_abs_jlogp,0,-0.04572800494717178,0.9979089495635513,0.5677971215268086,
mean_abs_jlogp,0,-0.06476261249852877,0.9958058040223653,0.567198474807794,
token_share,0,0.016823948064840357,0.999716954772483,0.5683112543976788,
length_x_surprisal_mean,0,-0.24818124137577588,0.9384060714291788,0.5506087798404203,
length_x_rb_entropy_mean,0,-0.17737121710141102,0.9685394513439641,0.5593792927175597,
