experiment_name,config_type,buffer_size,batch_size,step,pass_rate,pass_at_1,pass_at_2,pass_at_4,pass_at_8
batch64_run,batch_size_64,64,64,10,0.5412,0.5491,0.6825,0.8056,0.8738
batch64_run,batch_size_64,64,64,20,0.5556,0.5584,0.698,0.8335,0.9049
batch64_run,batch_size_64,64,64,30,0.5646,0.5584,0.7166,0.8232,0.8976
batch64_run,batch_size_64,64,64,40,0.5706,0.5564,0.7022,0.8356,0.9069
batch64_run,batch_size_64,64,64,50,0.5627,0.546,0.7094,0.8252,0.8945
batch64_run,batch_size_64,64,64,60,0.5773,0.5853,0.7311,0.8356,0.9121
batch128_run,batch_size_128,128,128,10,0.5485,0.5305,0.7094,0.8335,0.9038
batch128_run,batch_size_128,128,128,20,0.5658,0.577,0.7311,0.8397,0.909
batch128_run,batch_size_128,128,128,30,0.5729,0.5646,0.7353,0.8325,0.908
batch128_run,batch_size_128,128,128,40,0.5739,0.5708,0.7218,0.8314,0.8987
batch128_run,batch_size_128,128,128,50,0.5834,0.5936,0.7353,0.8366,0.9007
batch128_run,batch_size_128,128,128,60,0.5898,0.6008,0.7415,0.8438,0.9121
batch128_run,batch_size_128,128,128,64,0.5909,0.5781,0.7239,0.8356,0.9059
buffer256_run,buffer_size_256,256,32,20,0.5685,0.5729,0.7229,0.8511,0.9152
buffer256_run,buffer_size_256,256,32,30,0.5728,0.5636,0.726,0.8304,0.9028
buffer256_run,buffer_size_256,256,32,40,0.5854,0.605,0.7456,0.849,0.9069
buffer256_run,buffer_size_256,256,32,50,0.5927,0.5936,0.7332,0.8469,0.9173
buffer256_run,buffer_size_256,256,32,60,0.609,0.6112,0.7559,0.8583,0.9131
buffer256_run,buffer_size_256,256,32,64,0.6094,0.6194,0.7477,0.8511,0.9204
2x_lr_run,2x_learning_rate,256,32,10,0.5699327817993796,0.5729058945191313,0.7207859358841778,0.8262668045501551,0.9038262668045501
2x_lr_run,2x_learning_rate,256,32,20,0.577300930713547,0.5718717683557394,0.7300930713547052,0.8262668045501551,0.9038262668045501
2x_lr_run,2x_learning_rate,256,32,30,0.5978541882109617,0.6080661840744571,0.7518097207859359,0.8552223371251293,0.905894519131334
2x_lr_run,2x_learning_rate,256,32,40,0.610392967942089,0.6049638055842813,0.7414684591520165,0.828335056876939,0.9110651499482937
2x_lr_run,2x_learning_rate,256,32,50,0.6240951396070321,0.6215098241985523,0.7693898655635988,0.8717683557394003,0.9131334022750776
2x_lr_run,2x_learning_rate,256,32,60,0.6433557394002068,0.6266804550155118,0.7714581178903827,0.8634953464322648,0.9203722854188211
2x_lr_run,2x_learning_rate,256,32,64,0.6514994829369183,0.6370217166494312,0.7704239917269907,0.860392967942089,0.9162357807652534
